Formula,RT,Mass,Cpd,Antibase ID,CAS
C12H14O4,,222.0892,Sclerolide,2885,13277-77-5
C15H22O1,,218.1671,Sclerosporal,2886,69394-04-3
C21H23Cl1O5,,390.1234,(+)-Sclerotiorin,2887,549-23-5
C10H10O4,,194.0579,"(+)-Scytalone; 3,6,8-Trihydroxytetralone",2888,59872-10-5
C45H75N1O12,,821.5289,Scytophycin A,2889,
C10H10O4,,194.0579,Secocitreoviridin; Citreopyrone B,2890,79498-33-2
C15H16O5,,276.0998,Secofuscidin,2891,87980-54-9
C17H34N4O10,,454.2275,Seldomycin 1; XK 88-1,2892,56276-04-1
C12H26N4O5,,306.1903,Seldomycin 2; XK 88-2; 4'-Deoxyneamine,2893,54333-78-7
C17H35N5O9,,453.2435,Seldomycin 3; XK 88-3,2894,56276-05-2
C18H38N6O7,,450.2802,Seldomycin 5; XK 88-5,2895,56276-26-7
C25H26N4O7,,494.1802,Senacarcin A; DC 59A,2896,82800-43-9
C30H48O4,,472.3553,Senexdiolic acid,2897,30311-56-9
C29H46O2,,426.3498,"Senexonol; (20S)-22-Hydroxy-4,14-dimethyl-5-cholesta-8,24-dien-3-one",2898,30311-55-8
C11H12O5,,224.0685,Sepedonin,2899,3621-27-0
C30H51N7O7,,621.385,Septacidin; LIA-0191-A; NSC-65104,2900,62362-59-8
C48H82O16,,914.5603,Septamycin; C-5780; A-28695-A,2901,54927-63-8
C16H18N2O4,,302.1267,Septorine,2902,67332-36-9
C60H80N2O21,,1164.5254,Cosmocarcin A; Serirubicin; TMF-518C,2903,94593-72-3
C26H46N2O8,,514.3254,Serratamolide-A; Serratamolide; W1,2904,5285-25-6
C15H21N1O7,,327.1318,Sesbanimide-A,2905,85719-78-4
C29H42O5,,470.3032,Sesquicillin; Sesquicillin A,2906,51103-58-3
C34H28O9,,580.1733,Setomimycin; AM-2947; Corallomycin; A-39183 B,2907,69431-87-4
C25H28O7,,440.1835,Shahenxanthone,2908,40522-69-8
C25H26O5,,406.178,Shamixanthone,2909,35660-46-9
C22H30O5,,374.2093,Shikoccin,2910,73211-11-7
C19H17Cl3O6,,446.0091,Shirin,2911,33512-39-9
C9H11N1O6,,229.0586,Showdomycin; MSD-125A,2912,16755-07-0
C8H14N2O5,,218.0903,"Siastatin B; A-72363-B; 2-Acetamido-3,4-dihydroxypiperidine-5-carboxylic acid",2913,54795-58-3
C24H33N3O7,,475.2319,Sibiromycin; Sybiromycin,2914,12684-33-2
C22H30O3,,342.2195,Siccanin,2915,22733-60-4
C22H30O2,,326.2246,Siccanochromene A,2916,20097-98-7
C22H30O3,,342.2195,Siccanochromene B,2917,20097-99-8
C22H32O3,,344.2351,Siccanochromene D,2918,35334-37-3
C22H30O3,,342.2195,Siccanochromene E,2919,24211-27-6
C25H33N3O1,,391.2624,Streptorubin-A; NSC-76779; Metacycloprodigiosin; Prodigiosin-2; PR-2; Ethyl- cyclononylprodiginin,2920,22869-99-4
C35H32O14,,676.1792,-Naphthocyclinone,2921,55050-83-4
C35H33Cl1O15,,728.1508,-Naphthocyclinone chlorohydrin,2922,83314-00-5
C35H32O15,,692.1741,-Naphthocyclinone epoxide,2923,83333-54-4
C48H68N2O17,,944.4518,-Rhodomycin-IV; S-583-B,2924,102418-02-0
C54H78N2O18,,1042.525,-Rhodomycin-S-1B,2925,55898-17-4
C60H88N2O21,,1172.588,-Rhodomycin-S-3; -Rhodomycin-Roa2-Rod3-deoFuc,2926,55898-18-5
C54H78N2O20,,1074.5148,-Rhodomycin-S-4; -Rhodomycin-Roa2-deofuc2-Rod,2927,55898-16-3
C54H78N2O19,,1058.5199,-Rhodomycin-V; -Rhodomycin-Roa2-DeoFuc-Rod2-V,2928,12628-90-9
C27H20O12,,536.0955,-Rubromycin; Tuoromycin; 9020; 7453; 16569,2929,27267-70-5
C19H16O7,,356.0896,1-Rhodomycinone,2930,21204-31-9
C21H23N3O3,,365.1739,(-)-Brevianamide B,2931,38136-92-4
C17H23N3O2,,301.179,(-)-Indolactam V,2932,90365-57-4
C12H21N1O3,,227.1521,(-)-Tetrahydrocerulenin,2933,17397-90-9
C7H15N1O2,,145.1103,"(2S,3R)-2-Amino-3-methylhexanoic acid",2934,28116-92-9
C19H26Cl1N1O3,,351.1601,"(2S,3R)-Virantmycin",2935,76417-04-4
C7H12O4,,160.0736,"(2S,3R,4R,6R)-2,3,4-Trihydroxy-6-methylcyclohexanone; Gabosine-B",2936,
C4H7N1O5,,149.0324,"(2S,3S)-2-Amino-3-hydroxybutanedioic acid; 3-Hydroxyaspartic acid; 2-Amino-3-hydroxysuccinic acid",2937,7298-99-9
C5H11N1O3,,133.0739,"(2S,4S)-2-Amino-4-hydroxypentanoic acid; (+)-g-Hydroxynorvaline",2938,21704-96-1
C11H14O6,,242.079,"(3,4,5-Trihydroxy-6-oxo-1-cyclohexen-1-yl)methyl 2-butenoate; 2-Crotonyloxymethyl-(4R,5R,6R)-4,5,6-trihydroxycyclohex-2-enone; Glyo-II",2939,57449-30-6
C8H14O5,,190.0841,"(3R,4S,5S)-Sphydrofuran",2940,11072-19-8
C14H15N3O2,,257.1164,"(3R,6S)-Cyclo(alanyltryptophan), D,L-form",2941,22839-23-2
C11H18N2O2,,210.1368,"(3R,7aS)-Cyclo(leucylprolyl)",2942,36238-67-2
C10H16N2O2,,196.1212,"(3R,7aS)-Cyclo(prolylvalyl); cyclo(D-Pro, L-Val); trans-cyclo(Pro,Val)",2943,27483-18-7
C6H12N4O4,,204.0859,"(3RS,6RS)-3,6-Bis[(aminooxy)methyl]-2,5-piperazinedione; Cycloserine diketopiperazine; DCS",2944,
C14H15N3O2,,257.1164,"(3S,6R)-Cyclo(alanyltryptophan), L,D-form",2945,22839-22-1
C6H12N4O4,,204.0859,"(3S,6S)-3,6-Bis[(aminooxy)methyl]-2,5-piperazinedione; Cycloserine diketopiperazine; DCS",2946,17868-49-4
C14H16N2O3S4,,388.0044,"(3S,6S)-3-Benzyl-6-hydroxymethyl-1,4-dimethyl-3,6-epitetra- thiopiperazine-2,5-dione; Hyalodendrin tetrasulfide; Epithiodioxopiperazine; Hyalodendrin-III; A-26771-C",2947,52748-85-3
C14H15N3O2,,257.1164,"(3S,6S)-Cyclo(alanyltryptophan); L-Alanyl-L-tryptophan anhydride",2948,17079-37-7
C12H22N2O4,,258.158,"(3S,6S)-Terramide A",2949,
C11H20N2O4,,244.1423,"(3S,6S)-Terramide B",2950,
C10H18N2O4,,230.1267,"(3S,6S)-Terramide C",2951,
C11H14O2S1,,210.0715,(4R)-Thiolactomycin; 2-200; 2-200 A; Y 0834H-B,2952,82079-32-1
C8H9N1O5,,199.0481,(E)-Isoclavulanic acid,2953,62319-53-3
C4H8N2O4,,148.0484,(S)-O-Carbamoylserine,2954,2105-23-9
C10H12O2,,164.0837,"(Z)-4-(4-Methyl-1,3-pentadienyl)-2(5H)-furanone",2955,
C17H14N2O3,,294.1004,(__)-Cyclopenin,2956,19357-57-4
C16H16O7,,320.0896,"1',2'-Dihydromycochromone",2957,71326-02-8
C15H10O6,,286.0477,"1,2,3,8-Tetrahydroxy-6-methylanthraquinone; 7-Hydroxyemodin",2958,
C3H6S4,,169.9352,"1,2,4,6-Tetrathiepane",2959,292-45-5
C15H14N2O3,,270.1004,"1,2,6-Trimethoxyphenazine; Mycomethoxin A",2960,39039-75-3
C11H20O1,,168.1514,"1,2,7,7-Tetramethylbicyclo(2,2,1)heptan-2-ol; 2-Methylisoborneol",2961,
C21H22O7,,386.1366,"1,3,6,8-Tetrahydroxy-2-(1-methoxyhexyl)anthraquinone; Averantin 1'-methyl ether",2962,28254-23-1
C14H10O5,,258.0528,"1,3,6-Trihydroxy-8-methylxanthone; O,O-Di-norlichexanthone; 3,6,8-Trihydroxy-1-methyl-xanthone; Fusarindin",2963,20716-98-7
C21H22O7,,386.1366,"1,3,8-Trihydroxy-2-(1-hydroxyhexyl)-6-methoxyanthraquinone; Averantin-6- methylether",2964,
C11H20O4,,216.1362,"1,3,8-Trihydroxy-7-methyl-2-methylene-4-nonanone; Ketalin",2965,75692-33-0
C15H18O4,,262.1205,"1,4-Dihydro-6,8-dihydroxy-1-methyl-5-(3-methyl-2-butenyl)-3H-2-benzopyran-3-one; 6,8-Dihydroxy-5-(3'-methylbut-2'-enyl)-1-methylisochroman-3-one",2966,77053-28-2
C16H10O7,,314.0427,"1,6,8-Trihydroxy-3-methylanthraquinone-2-carboxylic acid; Endocrocin; Clavoxanthin",2967,481-70-9
C12H8N2O2,,212.0586,"1,6-Dihydroxyphenazine; Crystalloiodinine B; 1,6-Phenazinediol",2968,69-48-7
C16H18O6,,306.1103,"1,7,8,9-Tetrahydro-1,9-dihydroxy-4-methoxy-5-methyl-8- (1-methylethenyl)-3H-furo(3,4-f)(1)benzopyran",2969,85163-39-9
C16H16O7,,320.0896,1-Deoxybostrycin; 4-Deoxybostrycin,2970,21879-83-4
C13H10N2O2,,226.0742,1-Hydroxy-6-methoxy-phenazine; 6-Methoxy-1-phenazinol,2971,13129-58-3
C41H51N1O16,,813.3208,1-Hydroxyauramycin A; 10-Hydroxyauramycin A,2972,79217-17-7
C41H49N1O16,,811.3051,1-Hydroxyauramycin B; 10-Hydroxyauramycin B,2973,79206-72-7
C100H142N20O17,,1895.0862,1-L-Isoleucinegramicidin A; Ile1-GA,2974,
C21H25N9O4,,467.203,1-Nordistamycin A,2975,85407-06-3
C15H24,,204.1878,1-Sterpurene,2976,79579-56-9
C46H76O14,,852.5235,10-Demethyldianemycin; TM 531D,2977,87579-00-8
C21H18O9,,414.0951,10-Hydroxyauramycinone; 1-Hydroxyauramycinone; e1-Pyrromycinone,2978,76023-81-9
C27H29N1O9,,511.1842,11-Deoxydaunorubicin; 11-Deoxydaunomycin,2979,71800-91-4
C16H22Cl5N3O2S1,,494.9875,11-Monodechloro-13-demethylisodysidenin,2980,81747-68-4
C16H21Cl6N3O2S1,,528.9486,13-Demethyldysidenin,2981,81801-19-6
C16H21Cl6N3O2S1,,528.9486,13-Demethylisodysidenin,2982,81754-76-9
C43H55N1O15,,825.3572,13-Methylaclacinomycin A,2983,78776-19-9
C43H57N1O15,,827.3728,13-Methylaclacinomycin M,2984,78822-21-6
C43H57N1O15,,827.3728,13-Methylaclacinomycin N,2985,78776-20-2
C23H34O11,,486.2101,15-Acetyl-4(a-D-glucopyranosyl)-anguidol,2986,
C42H70O16,,830.4664,15-Deoxy-15-oxolankamycin,2987,65423-08-7
C52H88O20,,1032.5869,15-O-(a-L-4-O-Acetylarcanosyl)lankamycin,2988,65423-07-6
C16H14O6,,302.079,"2',3,7-Trihydroxy-4',5'-methylenedioxyisoflavan",2989,
C35H42N6O6S4,,770.2049,"2,2',5,5'-Dide(epidithio)-2,2',5,5'-tetrakis(methylthio)chaetomin; Dethio-tetra(methylthio)chetomin",2990,84260-71-9
C4H1Br4N1,,378.6842,"2,3,4,5-Tetrabromo-1H-pyrrole; Tetrabromopyrrole",2991,54705-14-5
C11H8O6,,236.0321,"2,3,5,8-Tetrahydroxy-6-methyl-1,4-naphthoquinone; Methylspinazarine",2992,41768-12-1
C14H14O4,,246.0892,"2,4,6,8,10,12-Tetradecahexaene-1,14-dioic acid; Corticrocin",2993,505-53-3
C13H12,,168.0939,"2,4,6,8-Tridecatetrayne",2994,
C8H8O3,,152.0473,"2,4-Dihydroxy-6-methylbenzaldehyde; Orsellin-aldehyde",2995,
C10H12O3,,180.0786,"2,4-Dimethoxy-6-methylbenzaldehyde",2996,
C6H4O4,,140.011,"2,5-Dihydroxy-1,4-benzoquinone",2997,615-94-1
C17H15Cl1O7,,366.0506,2-(3-Chloro-4-methyl-g-resorcyloyl)-5-hydroxy-m-anisic acid methyl ester; Monochlorosulochrin,2998,89367-81-7
C8H9N1O2,,151.0633,SIPI-96-1041; o-Hydroxyacetanilide; 2-Acetamidophenol; 2- Hydroxyacetanilide; 2-Hydroxyphenyl-acetamide,2999,614-80-2
C7H15N1O3,,161.1052,2-Deoxyvalidamine,3000,
C9H13N1O1,,151.0997,2-Dimethylaminoanisole; N-Dimethyl-o-anisidine,3001,700-75-4
C8H8O4,,168.0423,"2-Hydroxy-3-methoxy-5-methyl-1,4-benzoquinone",3002,2446-67-5
C9H10O3,,166.063,2-Hydroxy-4-methoxy-6-methylbenzaldehyde; Everninaldehyde,3003,
C13H11N1O2,,213.079,2-Hydroxybenzanilide,3004,3743-70-2
C8H11N1O1,,137.0841,2-Hydroxydimethylaniline,3005,3743-22-4
C20H41N5O8,,479.2955,2-Hydroxysagamicin,3006,77052-96-1
C53H90N12O12,,1086.6801,2-L-Valine-9-L-serinepolypeptin A; BMY 28160; Bu 2611,3007,94593-78-9
C19H14O9,,386.0638,2-O-Methyldothistromin,3008,
C12H23N1O10,,341.1322,2-Trehalosamine,3009,
C13H14O1,,186.1045,"2-Tridecene-4,6,8-triyn-1-ol",3010,
C20H29N1O1,,299.2249,2-Undecyl-4(1H)-quinolinone; 2-Undecylquinolone,3011,56183-46-1
C27H42O7,,478.2931,"20,21-Didehydroacutiphycin",3012,93279-27-7
C28H39N1O3,,437.293,"20,25-Dihydroxyaflavinine; Dihydroxyallavanine",3013,76410-56-5
C60H84O13,,1012.5912,20-Palmitoyl-gnidimacrin,3014,
C37H62O11,,682.4292,26-Deoxylaidlomycin,3015,
C22H47N5O7,,493.3476,2928,3016,79585-39-0
C19H39N5O7,,449.285,3*-N-Demethylgentamicin C2; Gentamicin V-2; Y 02077Hd; Y 02077H8,3017,60352-78-5
C18H10O8,,354.0376,"3',4'-Dehydro-4'-deoxydothistromin",3018,
C21H20O10,,432.1057,"3,3',5,5'-Tetraacetyl-2,2',4,4',6,6'-hexahydroxydiphenylmethane; 31-I; Bis-(2,4-diacetylphloroglucylmethane)",3019,58316-48-6
C7H10O5,,174.0528,"3,4,5,6-Tetrahydroxy-1-cyclohexene-1-carboxaldehyde; Rancinamycin-III",3020,60925-60-2
C7H10O5,,174.0528,"3,4,5,6-Tetrahydroxy-2-methyl-2-cyclohexen-1-one; Terremutin hydrate",3021,73864-00-3
C8H6O5,,182.0215,"3,4,5-Trihydroxy-1,2-benzenedicarboxaldehyde; Fomecin-B; 3,4,5- Trihydroxyphthalaldehyde",3022,16790-41-3
C7H10O4,,158.0579,"3,4,6-Trihydroxy-2-methyl-2-cyclohexen-1-one; 6-Hydroxytoluquinol hydrate; (-)-Terredionol",3023,73924-74-0
C10H10O4,,194.0579,"3,4-Dihydro-2R,4S,8-trihydroxy-1(2H)-naphthalenone; PD 2",3024,88899-02-9
C13H10O2,,198.0681,"3,5,7,8-Tridecatetraene-10,12-diynoic acid; Mycomycin; Antiblastin; Antiburastin",3025,544-51-4
C13H10O2,,198.0681,"3,5-Tridecadiene-7,9,11-triynoic acid; Isomycomycin",3026,
C18H18O5,,314.1154,"3-(2,4-Dimethoxyphenyl)-1-(2-hydroxy-4-methoxyphenyl)-2-propen-1-one; 2'- Hydroxy-2,4,4'-trimethoxychalcone",3027,
C20H34O3,,322.2508,3-Deoxyaphidicolin,3028,85483-00-7
C18H12O10,,388.0431,3-Hydroxydothistromin,3029,
C13H14O2,,202.0994,"3-Tridecene-5,7,9-triyne-1,2-diol",3030,54542-14-2
C12H16O3,,208.1099,3a-Coronafacic acid,3031,87335-74-8
C23H34O6,,406.2355,3a-Hydroxycompactin; Eptastatin; CS-514; Sq-31000,3032,85956-23-6
C23H34O6,,406.2355,3-Hydroxycompactin,3033,85956-22-5
C20H41N5O7,,463.3006,4*-Demethylgentamicin C1; Gentamicin VII-1,3034,66322-28-9
C18H37N5O7,,435.2693,4*-Demethylgentamicin C1a; Gentamicin VII-5,3035,
C19H39N5O7,,449.285,4*-Demethylgentamicin C2; Gentamicin VII-3,3036,66277-10-9
C15H10O5,,270.0528,"4',5,7-Trihydroxyisoflavone; Differenol A; Genisteine; Prunetol; Sophoricol",3037,446-72-0
C18H12O7,,340.0583,"4',5-Bisdeoxydothistromin",3038,
C18H12O8,,356.0532,4'-Deoxydothistromin,3039,
C16H20O6,,308.126,4'-Hydroxyasperentin,3040,51484-09-4
C25H42O2,,374.3185,"4,4,20-Tetramethyl-8-pregnene-3,22-diol; 23,24,25,26,27-Pentanorlanost-8-ene-3,22-diol",3041,42895-56-7
C7H10O5,,174.0528,"4,5,6-Trihydroxy-2-hydroxymethyl-2-cyclohexen-1-one; KD-16-U-1; Gabosine-C; KD-16U1",3042,40980-53-8
C8H10O2,,138.0681,"4,5-Dimethyl-1,3-benzenediol; o-Xylorcinol; 4,5-Dimethylresorcinol",3043,527-55-9
C10H10O5,,210.0528,"4,6-Dihydroxymellein",3044,62574-12-3
C11H12O4,,208.0736,"4,6-Dimethoxy-5-methylphthalide; O-Methylsilvaticol",3045,17811-37-9
C21H18O7,,382.1053,4-Deoxyauramycinone; (sometimes uncorrectly named as 7-Deoxyauramycinone),3046,78173-93-0
C17H16O7,,332.0896,4-Deoxyerythrostominone; 4-Deoxyerythrostomaninon,3047,35887-77-5
C22H21N1O7,,411.1318,4-Epichelocardin,3048,33484-05-8
C9H10O3,,166.063,4-Hydroxy-2-methoxy-6-methylbenzaldehyde; Isoevernin aldehyde,3049,67088-25-9
C10H10O4,,194.0579,4-Hydroxy-6-methoxy-5-methylphthlide,3050,75238-36-7
C23H26N2O8,,458.1689,4-N-Demethyl-4-N-ethyltetracycline; N-Methylethyltetracycline,3051,20457-81-2
C12H23N1O10,,341.1322,4-Trehalosamine; 4-Trehaloseamine,3052,51855-99-3
C40H68O15,,788.4558,4a-Deacetyl-15-deoxy-15-oxolankamycin,3053,66570-07-8
C58H84O26,,1196.5251,4B-Demethylchromomycin A2,3054,86917-62-6
C56H80O26,,1168.4938,4B-Demethylchromomycin A3,3055,86917-64-8
C33H60O8,,584.4288,"4R,12R,20R,28R-Tetrahydroxy-2,10,18,26-tri-triacontanetetrone; PM Toxin A",3056,88212-12-8
C11H12O4,,208.0736,4R-Hydroxy-5-methylmellein,3057,
C11H12O4,,208.0736,4S-Hydroxy-5-methylmellein,3058,
C19H26O9,,398.1577,"4,15-Diacetoxy-12,13-epoxy-9-trichothecene-3a,7a,8a-triol; 7a,8a-Dihydroxydiacetoxyscirpenol",3059,25861-69-2
C16H20O6,,308.126,5'-Hydroxyasperentin,3060,38747-39-6
C21H32O4,,348.2301,"5,6-Didehydro-7,8-dihydro-ACTG Toxin A; ACTG Toxin B",3061,
C15H10O5,,270.0528,"5,7,10-Trihydroxy-2-methyl-1,4-anthraquinone; Hydroxyviocristine",3062,61281-28-5
C9H8O4,,180.0423,"5,7-Dihydroxy-4-methyl-1(3H)-isobenzofuranone; 5,7-Dihydroxy-4- methylphthalide",3063,27979-57-3
C9H8O4,,180.0423,"5,7-Dihydroxy-6-methyl-1(3H)-isobenzofuranone; 5,7-Dihydroxy-6-methylphthalide",3064,55483-01-7
C23H30O6,,402.2042,"5-(2,4-Dihydroxy-6-methylbenzoyl)-armillol; Armillyl orsellinate",3065,82105-51-9
C24H32O6,,416.2199,5-(2-Hydroxy-4-methoxy-6-methylbenzoyl)-armillol; Armillyl everninate,3066,
C6H8N2O3,,156.0535,5-Amino-2-hexynedioic acid 1-amide; EF 70147Y,3067,89020-46-2
C11H10O5,,222.0528,5-Carboxymellein; 3-Methyl-5-carboxy-8-hydroxyisocoumarin,3068,69135-42-8
C18H23Cl1O3,,322.1336,5-Chloro-colletorin-B; Colletochlorin-B,3069,83324-48-5
C17H11Cl1O8,,378.0142,"5-Chlorodermorubin; 5-Chloro-1,4,6-trihydroxy-8-methoxy-3- methylanthraquinone-2-carboxylic acid",3070,26071-15-8
C12H16O3,,208.1099,5-Deoxydiplosporin,3071,
C20H41N5O6,,447.3057,5-Deoxygentamicin C2b,3072,88416-32-4
C28H42O6,,474.2981,"5-epi-5,6-Dihydroxypolyangloic acid; 5-epi-Ambruticin",3073,66965-37-5
C11H10O4,,206.0579,5-Formylmellein,3074,
C11H12O5,,224.0685,5-Hydroxy-4-(hydroxymethyl)-7-methoxy-6-methyl-1(3H)-isobenzofuranone,3075,98567-38-5
C12H14O6,,254.079,"5-Hydroxy-4-hydroxymethyl-3,7-dimethoxy-6-methyl-1(3H)- isobenzofuranone; 3-O-Methylcyclopolic acid",3076,83440-07-7
C11H12O4,,208.0736,5-Hydroxymethylmellein,3077,88037-93-8
C12H12O5,,236.0685,5-Methoxycarbonylmellein,3078,
C10H21N3O5,,263.1481,5590,3079,79585-40-3
C65H73Cl2N9O24,,1433.4146,56-Demethylvancomycin; N-Demethyl-vancomycin; A-51568A; LBM-415; NVP-PDF713,3080,91700-98-0
C21H20O6,,368.126,"6,10-Dideoxy-13-dihydrodaunomycinone",3081,74178-36-2
C10H8O5,,208.0372,"6,7,8-Trihydroxy-3-methyl-1H-2-benzpyran-1-one; 6,7,8-Trihydroxy-3-methylisocoumarin",3082,33624-51-0
C11H10O5,,222.0528,"6,7,9-Trihydroxy-3-methylcyclohepta(c)-pyran-8(1H)-one; Antibiotic C",3083,87492-67-9
C46H76O14,,852.5235,6-Demethyldianemycin; TM 531E,3084,87579-01-9
C18H14O8,,358.0689,"6-O-Methyldermorubin; 1,4-Dihydroxy-6,8-dimethoxy-3-methylanthraquinone-2-carboxylic acid",3085,67121-38-4
C8H12N2O6S2,,296.0137,6-Sulfoaminopenicillanic acid; FR 900318,3086,83670-99-9
C65H98N2O24,,1290.651,67-121C; Sch 16656 complex,3087,57515-50-1
C16H24O4,,280.1675,7-epi-Brefeldin A,3088,83710-00-3
C21H18O8,,398.1002,7-Methoxyaverufin,3089,95963-94-3
C12H16O3,,208.1099,7a-Coronafacic acid,3090,62251-99-4
C16H18O5,,290.1154,"8,9-Dehydrocurvularin; ,-Dehydrocurvularin",3091,21178-57-4
C17H24O7,,340.1522,8-Acetyl-T-2-tetrol,3092,
C22H24O3,,336.1725,8006-I,3093,99966-83-3
C24H26O3,,362.1882,8006-Ia,3094,99966-84-4
C15H22O3,,250.1569,8-Hydroxytrichothecene,3095,
C42H53N1O16,,827.3364,9-Hydroxyaclacinomycin-A; 2-Hydroxyaclacinomycin-A,3096,79127-36-9
C16H22Cl5N3O2S1,,494.9875,9-Monodechloro-13-demethylisodysidenin,3097,81754-77-0
C72H101N17O26,,1619.7104,A 21978 C0; Daptomycin; LY-146032,3098,74811-67-9
C73H103N17O26,,1633.726,A 21978 C1,3099,74754-47-5
C74H105N17O26,,1647.7417,A 21978 C2,3100,74764-81-1
C75H107N17O26,,1661.7573,A 21978 C3,3101,74754-46-4
C74H104N16O27,,1648.7257,A 21978 C4,3102,74811-68-0
C3H7N1O1,,73.0528,A 2315-C,3103,58339-26-7
C29H39N5O9S1,,633.2469,A 38533A1,3104,73019-72-4
C29H39N5O9S1,,633.2469,A 38533B,3105,73019-74-6
C40H51N1O13,,753.336,A 447D',3106,
C37H61N1O12,,711.4194,A 6888C; 5*-Deoxo-5*-hydroxycirramycin B1; Cirramycin F-1,3107,74918-31-3
C12H23N1O10,,341.1322,"a,a-3-Trehalosamine; U-59834",3108,75060-25-2
C47H78O13,,850.5442,A-130-C; 28-epi-A-130-A; 23-epi-Lenoremycin,3109,73522-76-6
C26H37N3O6,,487.2682,A-17002-C; A-15104-II,3110,71843-98-6
C30H47N1O2,,453.3607,"A-25822-M; Acetyl-A-25822-B; 3-Acetoxy-24-methylene-14a-aza-n-homo-5a-cholesta- 8(9),14(14a)-diene",3111,50886-40-3
C28H43N1O1,,409.3345,"A-25822-N; Dehydro-A-25822-B; 3-Keto-24-methylene-14a-aza-D-homo- 5a-cholesta-8(9), 14(14a)-diene",3112,50687-00-8
C43H59N7O9,,817.4374,A-3302-A,3113,59234-11-6
C34H30O10,,598.1839,A-39183-C,3114,79484-66-5
C15H23N1O4,,281.1627,a-Epiisocycloheximide; Neoisocycloheximide,3115,94799-82-3
C44H76O14,,828.5235,A80190; Portmicin,3116,
C57H84O25,,1168.5302,Aburamycin C; Deacetylchromomycin A2,3117,37847-80-6
C43H55N1O15,,825.3572,Aclacinomycin A 5-methyl ether; Aclacinomycin A 6-methyl ether,3118,76264-92-1
C42H55N1O15,,813.3572,Aclacinomycin N; MA-144-N1; Marcellomycin M1,3119,64474-88-0
C16H22O4,,278.1518,Acrostalidic acid,3120,55374-11-3
C21H30O5,,362.2093,"ACTG Toxin A, 1-Ketone; ACTG Toxin F",3121,
C17H14O6,,314.079,Aflatoxicol A; Aflatoxicol Ro; (1S)-Aflatoxicol,3122,29611-03-8
C17H14O6,,314.079,Aflatoxicol B; Aflatoxicol Ro'; (1R)-Aflatoxicol,3123,61740-00-9
C17H14O8,,346.0689,Aflatoxin GM2,3124,
C16H10O6,,298.0477,Aflatoxin P1,3125,32215-02-4
C17H14O6,,314.079,Aflatoxin-B2,3126,7220-81-7
C17H14O7,,330.074,Aflatoxin-B2A; Dihydro-hydroxyaflatoxin B1,3127,17878-54-5
C26H40N5,,422.3284,Agelasine B,3128,
C22H28N2O8,,448.1846,AI-77-C,3129,77675-00-4
C23H30N2O8,,462.2002,AI-77-D,3130,77675-01-5
C93H152N22O25,,1977.1299,Alamethicin II,3131,64920-25-8
C23H31N3O6,,445.2213,Alternarolide I; Alternarolide; Alternariolide I; Alternaria mali Toxin I; AM Toxin I; AM-I,3132,53193-10-5
C22H29N3O5,,415.2107,Alternarolide II; Alternariolide II; Alternaria mali Toxin II; AM Toxin II,3133,56072-96-9
C20H29N3O7,,423.2006,Amicoumacin A; BN-103,3134,78654-44-1
C29H26O10,,534.1526,Amphicercosporin,3135,
C47H75N1O17,,925.5035,Amphotericin A,3136,1405-32-9
C25H32O6,,428.2199,Andibenin C,3137,72746-69-1
C34H46N2O8,,610.3254,Ansatrienin A2,3138,85819-32-5
C34H46N2O8,,610.3254,(+)-Ansatrienin A3,3139,85819-31-4
C36H48N2O8,,636.3411,Ansatrienin A; Mycotrienin I; T 231,3140,80111-47-3
C83H129N17O19,,1667.9651,Antiamoebin II; Antiamebin II; 13-L-Prolineantiamebin I,3141,66713-71-1
C26H31N1O10,,517.1948,Antibiotic W,3142,75410-64-9
C26H33N1O8,,487.2206,Antibiotic Z,3143,75410-66-1
C22H16O8,,408.0845,Antibiotic Zgg; Bisanhydrogranaticin,3144,63972-29-2
C51H89N7O13,,1007.6518,APD I component a; Surfactin A1; *standard surfactin*,3145,87098-49-5
C25H37N1O5,,431.2672,Aphicidin; Piericidin-C1; Piericidin-D,3146,58947-79-8
C22H36O5,,380.2563,Aphidicolin 17-acetate,3147,51103-57-2
C22H36O5,,380.2563,"Aphidicolin-3,18-orthoacetate",3148,92681-39-5
C42H62B1O15,,806.4089,Aplasmomycin-B; Monoacetylaplasmomycin,3149,68193-20-4
C44H64B1O16,,848.4194,Aplasmomycin-C; Diacetylaplasmomycin,3150,68193-21-5
C20H16O8,,384.0845,Aranciamycinone,3151,95722-75-1
C24H31Cl1O6,,450.1809,Arnamiol,3152,
C16H24N4O4,,336.1798,Arphamenine B,3153,88465-81-0
C20H36N4O9,,476.2482,Arthrobactin; Terregens factor,3154,39007-57-3
C29H31N1O12,,585.1846,Arugorol; 4'-Epinogalarol,3155,91927-44-5
C23H29Cl1O5,,420.1704,Ascofuranone,3156,38462-04-3
C14H16N2O6S1,,340.0729,Asparenomycin A; PA 31088IV,3157,76466-24-5
C14H18N2O6S1,,342.0886,Asparenomycin B; PA 39504X1; Dihydroasparenomycin A,3158,79366-72-6
C17H22O5,,306.1467,Asperentin 6-methyl ether; 6-O-Methylasperentin,3159,35818-32-7
C17H22O5,,306.1467,Cladosporin-8-methylether; Asperentin 8-methyl ether,3160,38747-37-4
C23H30O5,,386.2093,Asperugin B,3161,14522-05-5
C24H31N1O4,,397.2253,Aspochalasin A; Asposterol A,3162,72363-48-5
